Time,ECG,PCG,PPG
0,542,722,38641
10,541,736,38632
20,544,800,38595
30,539,828,38601
40,540,799,38599
50,538,823,38603
60,536,817,38605
70,540,833,38600
80,534,833,38600
90,539,838,38585
100,537,831,38600
110,538,836,38610
120,539,807,38610
130,535,813,38615
140,533,828,38611
150,535,829,38615
160,528,801,38599
170,530,831,38571
180,528,858,38584
190,524,832,38591
200,526,791,38596
210,521,861,38590
220,524,814,38599
230,519,831,38609
240,516,804,38606
250,518,826,38622
260,510,729,38628
270,515,716,38638
280,513,715,38649
290,512,706,38637
300,514,733,38636
310,511,725,38623
320,514,783,38593
330,508,794,38598
340,508,831,38617
350,511,833,38607
360,507,845,38605
370,511,843,38598
380,508,817,38603
390,507,825,38598
400,507,832,38605
410,504,811,38614
420,510,805,38614
430,512,847,38618
440,509,825,38613
450,515,821,38613
460,514,856,38609
470,516,819,38576
480,518,818,38583
490,518,843,38593
500,525,838,38602
510,524,838,38595
520,529,831,38609
530,531,813,38622
540,527,833,38610
550,535,784,38627
560,532,763,38642
570,533,732,38641
580,536,696,38645
590,534,719,38634
600,539,723,38638
610,534,734,38617
620,538,782,38607
630,540,795,38608
640,537,828,38611
650,538,839,38606
660,536,809,38604
670,540,806,38602
680,539,864,38599
690,533,793,38587
700,535,814,38603
710,532,811,38609
720,533,814,38619
730,535,834,38623
740,531,816,38617
750,536,812,38608
760,533,819,38593
770,533,831,38580
780,535,818,38588
790,532,866,38589
800,531,833,38599
810,531,831,38595
820,528,816,38606
830,529,831,38619
840,526,797,38608
850,531,812,38631
860,527,789,38640
870,523,702,38646
880,526,686,38646
890,523,710,38638
900,526,735,38638
910,522,752,38617
920,518,750,38599
930,520,821,38609
940,514,848,38604
950,513,810,38607
960,512,832,38597
970,510,824,38598
980,514,827,38602
990,505,815,38597
1000,510,812,38608
1010,508,784,38617
1020,507,838,38616
1030,512,816,38617
1040,508,804,38611
1050,508,811,38613
1060,510,811,38593
1070,506,802,38580
1080,511,847,38582
1090,510,823,38596
1100,508,810,38602
1110,510,784,38592
1120,505,829,38608
1130,510,841,38612
1140,510,796,38610
1150,510,785,38631
1160,510,784,38632
1170,508,709,38645
1180,511,683,38643
1190,509,726,38631
1200,507,721,38635
1210,511,727,38616
1220,505,734,38605
1230,508,814,38605
1240,506,833,38603
1250,504,822,38605
1260,506,828,38601
1270,503,808,38603
1280,506,841,38598
1290,503,794,38592
1300,502,802,38600
1310,502,823,38621
1320,497,826,38617
1330,502,818,38616
1340,499,816,38612
1350,498,790,38619
1360,501,828,38607
1370,498,826,38578
1380,500,808,38576
1390,499,814,38598
1400,497,822,38604
1410,501,799,38592
1420,498,831,38594
1430,496,850,38617
1440,500,808,38602
1450,494,762,38620
1460,497,778,38641
1470,494,686,38637
1480,497,724,38647
1490,498,731,38635
1500,494,703,38640
1510,497,727,38619
1520,495,758,38596
1530,494,814,38605
1540,495,833,38611
1550,493,806,38605
1560,495,829,38603
1570,491,828,38605
1580,495,804,38604
1590,496,826,38594
1600,493,793,38594
1610,497,826,38614
1620,494,796,38615
1630,493,854,38623
1640,495,804,38614
1650,493,827,38619
1660,494,827,38614
1670,494,832,38582
1680,489,803,38591
1690,494,819,38594
1700,487,828,38603
1710,487,844,38592
1720,489,793,38597
1730,483,811,38614
1740,482,830,38618
1750,477,742,38618
1760,472,822,38636
1770,469,735,38652
1780,464,718,38645
1790,465,695,38642
1800,455,750,38638
1810,448,702,38635
1820,443,746,38605
1830,433,803,38596
1840,423,816,38604
1850,409,807,38603
1860,402,801,38605
1870,395,837,38603
1880,385,831,38609
1890,382,838,38614
1900,378,810,38603
1910,379,832,38612
1920,379,794,38623
1930,376,804,38610
1940,384,826,38626
1950,387,824,38612
1960,389,824,38610
1970,396,844,38608
1980,399,822,38582
1990,404,850,38588
2000,407,827,38601
2010,410,823,38607
2020,420,818,38594
2030,420,793,38605
2040,429,819,38609
2050,433,800,38618
2060,435,828,38640
2070,444,740,38641
2080,450,712,38647
2090,454,696,38644
2100,458,734,38644
2110,459,734,38640
2120,468,728,38623
2130,472,755,38607
2140,481,794,38607
2150,488,815,38606
2160,491,822,38610
2170,502,834,38615
2180,502,814,38606
2190,507,840,38618
2200,511,813,38598
2210,513,785,38627
2220,520,839,38618
2230,522,839,38612
2240,524,815,38619
2250,528,818,38612
2260,532,852,38618
2270,539,805,38598
2280,542,845,38575
2290,542,832,38584
2300,540,830,38594
2310,532,821,38602
2320,530,808,38600
2330,523,844,38602
2340,516,861,38616
2350,516,759,38607
2360,509,802,38626
2370,508,805,38648
2380,511,702,38648
2390,509,725,38639
2400,512,729,38648
2410,510,755,38645
2420,511,693,38630
2430,511,752,38607
2440,509,807,38599
2450,510,858,38615
2460,511,819,38616
2470,512,821,38603
2480,516,829,38609
2490,511,812,38616
2500,512,819,38607
2510,509,804,38619
2520,510,823,38610
2530,510,784,38615
2540,511,805,38617
2550,513,817,38616
2560,518,852,38619
2570,518,822,38600
2580,524,804,38581
2590,526,817,38587
2600,532,848,38592
2610,536,801,38593
2620,541,827,38590
2630,548,861,38605
2640,556,801,38611
2650,565,753,38605
2660,571,815,38626
2670,580,804,38644
2680,596,709,38643
2690,610,730,38645
2700,632,710,38645
2710,649,730,38636
2720,659,762,38624
2730,664,753,38613
2740,667,820,38604
2750,667,810,38615
2760,659,813,38610
2770,653,826,38607
2780,654,819,38609
2790,641,820,38615
2800,639,801,38599
2810,641,815,38618
2820,642,824,38620
2830,646,808,38610
2840,647,825,38624
2850,651,850,38617
2860,659,831,38608
2870,652,809,38606
2880,657,836,38564
2890,656,832,38589
2900,650,797,38594
2910,648,819,38600
2920,645,840,38604
2930,644,823,38611
2940,642,818,38616
2950,643,804,38610
2960,646,825,38614
2970,641,775,38645
2980,643,680,38645
2990,641,701,38648
3000,636,723,38651
3010,637,727,38642
3020,628,742,38632
3030,623,750,38615
3040,619,809,38613
3050,617,812,38605
3060,616,826,38609
3070,607,807,38608
3080,604,841,38611
3090,593,830,38607
3100,589,819,38612
3110,584,796,38619
3120,571,795,38611
3130,569,773,38617
3140,558,803,38617
3150,551,811,38611
3160,550,817,38599
3170,542,821,38602
3180,537,820,38588
3190,532,843,38579
3200,524,813,38595
3210,526,823,38607
3220,519,838,38601
3230,516,853,38605
3240,517,773,38623
3250,512,776,38624
3260,511,838,38636
3270,505,735,38646
3280,505,700,38655
3290,500,713,38652
3300,498,708,38647
3310,497,751,38634
3320,493,731,38624
3330,493,750,38611
3340,492,794,38610
3350,489,820,38612
3360,489,823,38608
3370,487,835,38611
3380,488,814,38607
3390,484,829,38607
3400,484,806,38611
3410,488,775,38631
3420,483,826,38625
3430,486,825,38619
3440,486,814,38617
3450,485,786,38621
3460,488,819,38614
3470,487,826,38590
3480,486,837,38589
3490,488,803,38587
3500,485,833,38584
3510,487,818,38604
3520,484,818,38597
3530,483,827,38607
3540,488,815,38623
3550,485,787,38626
3560,485,815,38631
3570,486,733,38645
3580,486,674,38645
3590,489,726,38648
3600,487,744,38647
3610,492,746,38646
3620,495,759,38614
3630,493,723,38609
3640,498,818,38615
3650,497,832,38610
3660,501,846,38611
3670,501,826,38608
3680,499,780,38602
3690,504,830,38606
3700,503,796,38605
3710,505,813,38623
3720,504,843,38611
3730,506,798,38619
3740,508,820,38619
3750,505,782,38625
3760,505,819,38628
3770,505,846,38611
3780,500,822,38584
3790,503,788,38599
3800,496,819,38596
3810,501,795,38596
3820,497,798,38598
3830,493,861,38616
3840,495,828,38621
3850,488,785,38597
3860,488,799,38618
3870,487,711,38652
3880,483,729,38656
3890,485,723,38647
3900,484,683,38638
3910,485,761,38636
3920,485,737,38630
3930,481,811,38606
3940,486,829,38608
3950,484,877,38613
3960,485,815,38607
3970,488,792,38606
3980,487,828,38605
3990,488,856,38607
4000,488,834,38603
4010,490,773,38616
4020,494,801,38617
4030,494,839,38623
4040,493,798,38621
4050,496,816,38628
4060,497,829,38617
4070,501,810,38597
4080,499,775,38585
4090,501,800,38594
4100,500,828,38594
4110,499,837,38609
4120,501,811,38601
4130,494,823,38613
4140,491,802,38622
4150,490,774,38615
4160,487,821,38622
4170,489,730,38651
4180,487,719,38650
4190,492,698,38655
4200,493,710,38645
4210,493,734,38639
4220,495,768,38622
4230,490,808,38603
4240,494,814,38607
4250,492,791,38605
4260,491,838,38602
4270,494,783,38605
4280,486,815,38602
4290,486,840,38609
4300,486,803,38602
4310,483,783,38618
4320,483,822,38611
4330,484,828,38622
4340,482,817,38619
4350,484,791,38631
4360,481,831,38618
4370,485,833,38588
4380,483,810,38594
4390,482,834,38601
4400,482,847,38593
4410,480,821,38600
4420,484,810,38594
4430,482,853,38608
4440,482,798,38608
4450,485,816,38625
4460,479,830,38635
4470,483,712,38647
4480,481,718,38648
4490,480,686,38650
4500,484,727,38643
4510,483,701,38635
4520,482,762,38617
4530,482,803,38610
4540,483,821,38608
4550,485,786,38607
4560,482,822,38607
4570,487,869,38601
4580,485,814,38608
4590,485,813,38599
4600,489,827,38608
4610,488,798,38621
4620,492,783,38614
4630,493,826,38632
4640,492,815,38624
4650,497,841,38628
4660,498,802,38608
4670,499,814,38581
4680,499,818,38583
4690,494,865,38598
4700,496,799,38601
4710,494,816,38590
4720,492,846,38602
4730,488,839,38612
4740,484,822,38612
4750,486,779,38612
4760,481,772,38629
4770,482,698,38639
4780,480,688,38643
4790,476,719,38645
4800,479,730,38641
4810,476,709,38639
4820,477,741,38617
4830,478,812,38591
4840,473,804,38612
4850,475,822,38607
4860,472,807,38610
4870,470,821,38608
4880,466,815,38601
4890,461,806,38603
4900,460,815,38609
4910,451,823,38621
4920,450,764,38616
4930,444,803,38627
4940,434,798,38620
4950,434,838,38621
4960,428,756,38604
4970,419,798,38581
4980,414,799,38583
4990,402,762,38590
5000,394,841,38598
5010,383,811,38583
5020,370,839,38591
5030,360,843,38616
5040,344,788,38611
5050,336,778,38624
5060,330,765,38624
5070,322,719,38650
5080,323,749,38645
5090,320,715,38643
5100,326,626,38632
5110,327,730,38628
5120,333,752,38619
5130,340,803,38602
5140,344,835,38609
5150,352,815,38606
5160,360,844,38600
5170,368,817,38611
5180,373,794,38603
5190,377,799,38602
5200,384,863,38603
5210,387,801,38626
5220,394,788,38619
5230,399,856,38620
5240,407,789,38621
5250,414,819,38624
5260,421,738,38605
